발생시간,발생지역,검토상태,쓰나미여부,영향도,데이터유형,규모,지역,경도,위도,진원깊이,발생일시,cluster
1609815237780,"160 km SSE of Kuril’sk, Russia",reviewed,0,259,earthquake,4.1, Russia,148.748,43.9245,10.0,2021-01-05 02:53:57.780000+00:00,0
1609817216070,"140 km NE of Gisborne, New Zealand",reviewed,0,298,earthquake,4.4, New Zealand,179.2384,-37.8407,12.63,2021-01-05 03:26:56.070000+00:00,0
1609818568551,"146 km WNW of Kuqa, China",reviewed,0,246,earthquake,4.0, China,81.3472,42.3129,10.0,2021-01-05 03:49:28.551000+00:00,1
1609821866836,north of Ascension Island,reviewed,0,271,earthquake,4.2,north of Ascension Island,-16.1914,-0.9562,10.0,2021-01-05 04:44:26.836000+00:00,0
1609822078792,north of Ascension Island,reviewed,0,298,earthquake,4.4,north of Ascension Island,-15.8985,-0.9884,10.0,2021-01-05 04:47:58.792000+00:00,0
1609823878538,Easter Island region,reviewed,0,312,earthquake,4.5,Easter Island region,-114.5435,-26.4813,10.0,2021-01-05 05:17:58.538000+00:00,0
1609826511091,"241 km WSW of Adak, Alaska",reviewed,0,158,earthquake,3.2, Alaska,-179.8996,51.1366,22.5,2021-01-05 06:01:51.091000+00:00,1
1609827102468,"2 km NNW of Petrinja, Croatia",reviewed,0,168,earthquake,3.3, Croatia,16.28,45.4625,10.31,2021-01-05 06:11:42.468000+00:00,1
1609830439000,"80 km NNE of Luquillo, Puerto Rico",reviewed,0,144,earthquake,3.06, Puerto Rico,-65.3995,19.0353,50.0,2021-01-05 07:07:19+00:00,1
1609832381613,"38 km ENE of Codrington, Antigua and Barbuda",reviewed,0,284,earthquake,4.3, Antigua and Barbuda,-61.4989,17.7743,26.35,2021-01-05 07:39:41.613000+00:00,0
1609836287810,"88 km NE of Cruz Bay, U.S. Virgin Islands",reviewed,0,173,earthquake,3.35, U.S. Virgin Islands,-64.1548,18.8538,44.0,2021-01-05 08:44:47.810000+00:00,1
1609840996124,"85 km SSW of Angaur State, Palau",reviewed,0,246,earthquake,4.0, Palau,133.8624,6.1812,10.0,2021-01-05 10:03:16.124000+00:00,1
1609843808344,"143 km SSW of Port-Vila, Vanuatu",reviewed,0,284,earthquake,4.3, Vanuatu,167.7332,-18.9133,10.0,2021-01-05 10:50:08.344000+00:00,0
1609847778094,"36 km SE of Kupang, Indonesia",reviewed,0,400,earthquake,5.1, Indonesia,123.8207,-10.4267,10.0,2021-01-05 11:56:18.094000+00:00,0
